Brand,Brewery,PercentAlcohol,Calories,Carbohydrates
American Amber Lager,Straub Brewery ,4.10,136,10.5
American Lager,Straub Brewery,4.10,132,10.5
American Light,Straub Brewery,3.20,96,7.6
Anchor Steam,Anchor ,4.90,153,16.0
Anheuser Busch Natural Light ,Anheuser Busch,4.20,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,5.90,157,8.9
Aspen Edge,Adolph Coors,4.10,94,2.6
Bard's Gold (Gluten-Free) ,Bard's Tale Beer Co,4.60,155,14.2
Big Sky Moose Drool Brown Ale ,Big Sky Brewing,5.20,177,15.6
Big Sky Scape Goat Pale Ale ,Big Sky Brewing,4.70,163,13.9
Big Sky Summer Honey Ale (seasonal) ,Big Sky Brewing,4.70,154,11.6
Big Sky Trout Slayer Ale ,Big Sky Brewing,4.70,163,13.9
Blatz Beer ,Blatz,4.80,153,12.5
Blue Moon,Adolph Coors,5.40,171,13.7
Bud Dry,Anheuser Busch,5.00,130,7.8
Bud Ice,Anheuser Busch,5.50,123,8.9
Bud Ice Light,Anheuser Busch,5.00,115,7.5
Bud Light,Anheuser Busch,4.20,110,6.6
Bud Light Lime,Anheuser Busch,4.20,116,8.0
Bud Light Platinum,Anheuser Busch,6.00,137,4.4
Budweiser,Anheuser Busch,5.00,145,10.6
Budweiser Select,Anheuser Busch,4.30,99,3.1
Budweiser Select 55,Anheuser Busch,2.40,55,1.9
Busch Beer ,Anheuser Busch,4.60,133,10.2
Busch Ice,Anheuser Busch,5.90,169,12.5
Busch Light,Anheuser Busch,4.10,95,3.2
Carling Black Label,G. Heileman,4.30,138,12.5
Colt 45 Malt Liquor,G. Heileman,6.10,174,11.1
Coors  ,MillerCoors,4.91,149,12.2
Coors Light ,MillerCoors,4.15,104,5.3
Extra Gold Lager ,MillerCoors,4.97,152,12.5
Flying Dog Dog Schwarz,Flying Dog Brewery ,7.80,222,14.3
Flying Dog Doggie Style,Flying Dog Brewery ,4.70,158,11.4
Flying Dog DogtoberFest,Flying Dog Brewery ,5.60,165,12.3
Flying Dog Double Dog ,Flying Dog Brewery ,11.50,313,16.6
Flying Dog Garde Dog,Flying Dog Brewery ,5.50,150,9.3
Flying Dog Gonzo,Flying Dog Brewery ,9.20,271,18.9
Flying Dog Horn Dog,Flying Dog Brewery ,10.20,314,21.5
Flying Dog In Heat Wheat,Flying Dog Brewery ,4.70,138,10.4
Flying Dog K-9 Cruiser,Flying Dog Brewery ,7.40,197,10.6
Flying Dog Kerberos Tripel,Flying Dog Brewery ,8.30,238,8.6
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery ,5.50,154,10.2
Flying Dog Raging Bitch,Flying Dog Brewery ,8.30,221,11.6
Flying Dog Road Dog,Flying Dog Brewery ,6.00,163,9.9
Flying Dog Snake Dog IPA,Flying Dog Brewery ,7.10,188,10.0
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery ,5.10,129,6.2
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery ,9.90,288,20.2
Flying Dog Woody Creek White,Flying Dog Brewery ,4.80,131,8.0
Genesee Beer,High Falls Brewing,4.50,148,13.5
Genesee Cream Ale,High Falls Brewing,5.10,162,15.0
Genesee Ice,High Falls Brewing,5.90,156,14.5
Genesee Red,High Falls Brewing,4.90,148,14.0
George Killian's Irish Red,MillerCoors,4.98,162,14.8
Icehouse,MillerCoors,5.50,132,8.7
Icehouse 5.0,MillerCoors,5.50,149,9.8
